actual_current_dm3058_ma,output_duty_pct,adc1_raw,adc1_voltage_v,adc2_raw,adc2_voltage_v,set_current_ma,stm32_reported_current_ma,source_file,source_row,time_s,sample_count,dropped_each_side
0.997454,0.1,15,0.013,,,1,2.158,low_current_sweep_latest.csv,76,15.7514,64,16
1.00609,0.3,0,0,,,1,0,low_current_sweep_latest.csv,80,19.446,64,16
1.04103,0.3,0,0,,,1,0,low_current_sweep_latest.csv,60,19.141,64,16
1.05365,0.1,11,0.008,,,1,1.582,low_current_sweep_latest.csv,19,15.0839,64,16
1.06142,0.1,15,0.013,,,1,2.158,low_current_sweep_latest.csv,33,7.92306,64,16
1.06854,0.1,15,0.013,,,1,2.158,low_current_sweep_latest.csv,13,10.1524,64,16
1.07028,0.2,0,0,,,1,0,low_current_sweep_correction_curve.csv,7,7.74737,64,16
1.07428,0.3,0,0,,,1,0,low_current_sweep_correction_curve.csv,15,17.866,64,16
1.07432,0.1,15,0.013,,,1,2.366,low_current_sweep_correction_curve.csv,8,8.65928,64,16
1.07483,0.2,15,0.013,,,1,2.158,low_current_sweep_latest.csv,70,8.63287,64,16
1.07484,0.2,0,0,,,1,0,low_current_sweep_latest.csv,51,10.0511,64,16
1.07485,0.1,11,0.008,,,1,1.582,low_current_sweep_latest.csv,37,11.8841,64,16
1.07487,0.1,11,0.008,,,1,1.582,low_current_sweep_latest.csv,31,6.95706,64,16
1.07488,0.1,15,0.013,,,1,2.158,low_current_sweep_latest.csv,16,12.8713,64,16
1.07488,0.1,11,0.008,,,1,1.582,low_current_sweep_latest.csv,82,20.9191,64,16
1.07489,0.1,11,0.008,,,1,1.582,low_current_sweep_latest.csv,11,9.1814,64,16
1.07489,0.1,11,0.008,,,1,1.582,low_current_sweep_latest.csv,14,11.0715,64,16
1.07489,0.1,15,0.013,,,1,2.158,low_current_sweep_latest.csv,59,18.6523,64,16
1.07489,0.2,11,0.008,,,1,1.582,low_current_sweep_latest.csv,77,16.2375,64,16
1.07491,0.2,0,0,,,1,0,low_current_sweep_latest.csv,78,17.2374,64,16
1.07491,0.2,0,0,,,1,0,low_current_sweep_latest.csv,81,19.924,64,16
1.07492,0.1,11,0.008,,,1,1.582,low_current_sweep_latest.csv,40,14.0926,64,16
1.07492,0.1,11,0.008,,,1,1.582,low_current_sweep_latest.csv,74,14.7875,64,16
1.07492,0.3,0,0,,,1,0,low_current_sweep_latest.csv,9,7.38164,64,16
1.07492,0.3,0,0,,,1,0,low_current_sweep_latest.csv,20,15.5666,64,16
1.07494,0.2,0,0,,,1,0,low_current_sweep_latest.csv,53,11.0162,64,16
1.07495,0.3,0,0,,,1,0,low_current_sweep_latest.csv,17,14.1117,64,16
1.07513,0.2,0,0,,,1,0,low_current_sweep_latest.csv,58,17.4109,64,16
1.16512,0.1,15,0.013,,,1,2.366,low_current_sweep_correction_curve.csv,9,9.14741,64,16
1.17679,0.2,17,0.014,,,1,2.681,low_current_sweep_correction_curve.csv,16,18.3495,64,16
1.17734,0.1,15,0.013,,,1,2.158,low_current_sweep_latest.csv,8,6.22166,64,16
1.17863,0.3,0,0,,,1,0,low_current_sweep_latest.csv,23,19.047,64,16
1.18802,0.2,11,0.008,,,1,1.582,low_current_sweep_latest.csv,68,6.8274,64,16
