set_current_ma,output_duty_pct,sample_count_rows,actual_current_dm3058_mean_ma,actual_current_dm3058_median_ma,actual_current_dm3058_std_ma,adc1_raw_mean,adc1_raw_median,adc1_voltage_mean_v,stm32_reported_current_mean_ma,source_files
1,0.1,18,1.10109,1.07489,0.0736617,13.2222,15,0.0107778,1.92511,low_current_sweep_correction_curve.csv;low_current_sweep_latest.csv
1,0.2,10,1.09595,1.07491,0.0456635,5.4,0,0.0043,0.8003,low_current_sweep_correction_curve.csv;low_current_sweep_latest.csv
1,0.3,11,1.14825,1.07495,0.109584,0,0,0,0,low_current_sweep_correction_curve.csv;low_current_sweep_latest.csv
3,0.5,27,2.77922,2.78401,0.0190326,20.7778,21,0.0168519,2.989,low_current_sweep_correction_curve.csv;low_current_sweep_start_duty.csv
5,0.9,55,5.0834,5.08321,0.0462234,34.6727,34,0.0296727,5.02038,low_current_sweep_correction_curve.csv;low_current_sweep_start_duty.csv;low_current_test_after_adaptive.csv
5,1,7,5.20911,5.24928,0.119304,34,34,0.029,4.891,low_current_sweep_start_duty.csv;low_current_test_after_adaptive.csv
8,1.4,13,8.26254,8.10566,0.23119,54.1538,53,0.0468462,8.11477,low_current_sweep_correction_curve.csv
8,1.5,24,8.81643,8.72791,0.275839,57.0417,57,0.0492083,8.23208,low_current_sweep_correction_curve.csv;low_current_sweep_start_duty.csv;low_current_test_after_adaptive.csv
8,1.6,7,8.83237,8.83197,0.0907864,52.5714,53,0.0455714,7.56229,low_current_sweep_start_duty.csv;low_current_test_after_adaptive.csv
10,1.7,5,10.3077,10.5308,0.332504,63,65,0.055,9.9368,low_current_sweep_correction_curve.csv
10,1.8,60,11.0806,11.1676,0.497487,72.2,73,0.0628833,10.6572,low_current_sweep_correction_curve.csv;low_current_sweep_latest.csv;low_current_sweep_start_duty.csv;low_current_test_after_adaptive.csv
10,1.9,28,11.0587,11.1816,0.278972,67.3214,66,0.0585714,9.74132,low_current_sweep_latest.csv;low_current_sweep_start_duty.csv;low_current_test_after_adaptive.csv
10,2,13,10.8314,10.7709,0.252384,64.0769,63,0.0557692,9.23162,low_current_sweep_latest.csv;low_current_test_after_adaptive.csv
15,2.5,7,15.3765,15.3717,0.0685658,100,100,0.088,15.4854,low_current_sweep_correction_curve.csv
15,2.6,18,15.7254,15.6822,0.2995,98.2778,100,0.0862778,15.1266,low_current_sweep_correction_curve.csv;low_current_sweep_start_duty.csv
15,2.7,8,15.9817,16.0704,0.213881,96,96,0.084,14.5787,low_current_sweep_start_duty.csv
20,3.3,4,19.7797,19.7194,0.12055,122.25,123,0.10775,19.0415,low_current_sweep_latest.csv
20,3.4,50,20.3229,20.3277,0.00989021,126.96,131,0.11144,19.976,low_current_sweep_correction_curve.csv;low_current_sweep_latest.csv;low_current_sweep_start_duty.csv
20,3.5,1,20.4658,20.4658,0,122,122,0.107,19.418,low_current_sweep_latest.csv
