"source_file","source_row","cmd_or_set_cmd","time_s","set_ma","stm_current_ma","error_ma","adc1_raw","adc1_voltage_v","adc2_raw","adc2_voltage_v","sample_count","dropped_each_side","rejected_count","output_duty_pct","dm3058_current_ma"
"low_current_sweep_correction_curve.csv","1","1","1.7973594665527344","1","1.735","-0.735","11","0.008","","","64","16","0","0.1","-0.008161202"
"low_current_sweep_correction_curve.csv","2","1","3.46345853805542","1","0.0","1.0","0","0.0","","","64","16","1","0.3","1.2576079999999998"
"low_current_sweep_correction_curve.csv","3","1","5.2972729206085205","1","0.0","1.0","0","0.0","","","64","16","1","0.2","0.6764456"
"low_current_sweep_correction_curve.csv","4","1","5.78204083442688","1","0.0","1.0","0","0.0","","","64","16","1","0.3","1.689157"
"low_current_sweep_correction_curve.csv","5","1","6.777393817901611","1","2.366","-1.366","15","0.013","","","64","16","2","0.2","1.689119"
"low_current_sweep_correction_curve.csv","6","1","7.262348890304565","1","0.0","1.0","0","0.0","","","64","16","3","0.2","1.68926"
"low_current_sweep_correction_curve.csv","7","1","7.747370004653931","1","0.0","1.0","0","0.0","","","64","16","3","0.2","1.070284"
"low_current_sweep_correction_curve.csv","8","1","8.659279823303223","1","2.366","-1.366","15","0.013","","","64","16","4","0.1","1.074316"
"low_current_sweep_correction_curve.csv","9","1","9.147408246994019","1","2.366","-1.366","15","0.013","","","64","16","4","0.1","1.16512"
"low_current_sweep_correction_curve.csv","10","1","10.06719160079956","1","1.735","-0.735","11","0.008","","","64","16","4","0.1","2.219452"
"low_current_sweep_correction_curve.csv","11","1","11.647241830825806","1","0.0","1.0","0","0.0","","","64","16","5","0.3","-0.008202182"
"low_current_sweep_correction_curve.csv","12","1","12.887097120285034","1","2.366","-1.366","15","0.013","","","64","16","6","0.1","-0.008226698"
"low_current_sweep_correction_curve.csv","13","1","14.705196380615234","1","1.735","-0.735","11","0.008","","","64","16","6","0.1","nan"
"low_current_sweep_correction_curve.csv","14","1","16.509319305419922","1","0.0","1.0","0","0.0","","","64","16","7","0.3","nan"
"low_current_sweep_correction_curve.csv","15","1","17.866010904312134","1","0.0","1.0","0","0.0","","","64","16","7","0.3","1.074284"
"low_current_sweep_correction_curve.csv","16","1","18.34954285621643","1","2.681","-1.681","17","0.014","","","64","16","8","0.2","1.176792"
"low_current_sweep_correction_curve.csv","17","3","1.9537603855133057","3","46.751","-43.751","325","0.287","","","64","16","0","0.0","2.218716"
"low_current_sweep_correction_curve.csv","18","3","2.8557636737823486","3","0.0","3.0","0","0.0","","","64","16","1","0.3","2.781165"
"low_current_sweep_correction_curve.csv","19","3","3.338412046432495","3","2.158","0.842","15","0.013","","","64","16","2","0.4","2.78105"
"low_current_sweep_correction_curve.csv","20","3","3.822155475616455","3","2.445","0.555","17","0.014","","","64","16","3","0.5","2.781111"
"low_current_sweep_correction_curve.csv","21","3","4.306396245956421","3","3.021","-0.021","21","0.017","","","64","16","3","0.5","2.7812560000000004"
"low_current_sweep_correction_curve.csv","22","3","4.788286447525024","3","3.021","-0.021","21","0.017","","","64","16","4","0.5","2.7812650000000003"
"low_current_sweep_correction_curve.csv","23","3","5.271526336669922","3","3.021","-0.021","21","0.017","","","64","16","5","0.5","2.781279"
"low_current_sweep_correction_curve.csv","24","3","5.756313323974609","3","3.021","-0.021","21","0.017","","","64","16","7","0.5","2.781348"
"low_current_sweep_correction_curve.csv","25","3","6.2380592823028564","3","3.021","-0.021","21","0.017","","","64","16","7","0.5","2.7815209999999997"
"low_current_sweep_correction_curve.csv","26","3","6.72312331199646","3","3.021","-0.021","21","0.017","","","64","16","8","0.5","2.781474"
"low_current_sweep_correction_curve.csv","27","3","7.20579719543457","3","3.021","-0.021","21","0.017","","","64","16","9","0.5","2.7813"
"low_current_sweep_correction_curve.csv","28","3","7.688388347625732","3","3.021","-0.021","21","0.017","","","64","16","10","0.4","2.2286889999999997"
"low_current_sweep_correction_curve.csv","29","3","8.171945571899414","3","2.589","0.411","18","0.015","","","64","16","11","0.5","2.684237"
"low_current_sweep_correction_curve.csv","30","3","9.137665748596191","3","3.021","-0.021","21","0.017","","","64","16","12","0.5","2.781375"
"low_current_sweep_correction_curve.csv","31","3","9.621320486068726","3","3.021","-0.021","21","0.017","","","64","16","13","0.5","2.781289"
"low_current_sweep_correction_curve.csv","32","3","10.105987548828125","3","3.021","-0.021","21","0.017","","","64","16","14","0.5","2.78144"
"low_current_sweep_correction_curve.csv","33","3","10.587563276290894","3","3.021","-0.021","21","0.017","","","64","16","15","0.5","2.781441"
"low_current_sweep_correction_curve.csv","34","3","11.555753231048584","3","3.021","-0.021","21","0.017","","","64","16","16","0.5","2.781446"
"low_current_sweep_correction_curve.csv","35","3","12.038206577301025","3","3.021","-0.021","21","0.017","","","64","16","17","0.5","2.7815090000000002"
"low_current_sweep_correction_curve.csv","36","5","0.7257864475250244","5","5.041","-0.041","34","0.029","","","64","16","0","0.9","5.079604"
"low_current_sweep_correction_curve.csv","37","5","1.208376169204712","5","5.041","-0.041","34","0.029","","","64","16","1","0.9","5.079695"
"low_current_sweep_correction_curve.csv","38","5","2.174997091293335","5","5.041","-0.041","34","0.029","","","64","16","2","0.9","5.079979"
"low_current_sweep_correction_curve.csv","39","5","2.658233404159546","5","5.041","-0.041","34","0.029","","","64","16","3","0.9","5.080096"
"low_current_sweep_correction_curve.csv","40","5","3.1439406871795654","5","5.041","-0.041","34","0.029","","","64","16","4","0.9","5.080087"
"low_current_sweep_correction_curve.csv","41","5","3.62473201751709","5","5.041","-0.041","34","0.029","","","64","16","6","0.9","5.0801739999999995"
"low_current_sweep_correction_curve.csv","42","5","4.5938310623168945","5","5.041","-0.041","34","0.029","","","64","16","7","0.9","5.080276"
"low_current_sweep_correction_curve.csv","43","5","5.07445216178894","5","5.041","-0.041","34","0.029","","","64","16","8","0.9","5.0802879999999995"
"low_current_sweep_correction_curve.csv","44","5","5.557795763015747","5","5.041","-0.041","34","0.029","","","64","16","8","0.8","4.4878849999999995"
"low_current_sweep_correction_curve.csv","45","5","6.043756723403931","5","4.597","0.403","31","0.026","","","64","16","9","0.9","4.796538"
"low_current_sweep_correction_curve.csv","46","5","7.007669687271118","5","5.041","-0.041","34","0.029","","","64","16","10","0.9","5.08031"
"low_current_sweep_correction_curve.csv","47","5","7.493552207946777","5","5.041","-0.041","34","0.029","","","64","16","11","0.9","5.080347"
"low_current_sweep_correction_curve.csv","48","5","7.974096298217773","5","5.041","-0.041","34","0.029","","","64","16","12","0.9","5.080371"
"low_current_sweep_correction_curve.csv","49","5","8.943711042404175","5","5.041","-0.041","34","0.029","","","64","16","13","0.9","5.080454"
"low_current_sweep_correction_curve.csv","50","5","9.429453134536743","5","5.041","-0.041","34","0.029","","","64","16","14","0.9","5.080496999999999"
"low_current_sweep_correction_curve.csv","51","5","9.908262252807617","5","5.041","-0.041","34","0.029","","","64","16","15","0.9","5.080477"
"low_current_sweep_correction_curve.csv","52","5","10.393591403961182","5","5.041","-0.041","34","0.029","","","64","16","17","0.9","5.08062"
"low_current_sweep_correction_curve.csv","53","5","11.357305526733398","5","5.041","-0.041","34","0.029","","","64","16","18","0.9","5.0805620000000005"
"low_current_sweep_correction_curve.csv","54","5","11.843484878540039","5","5.041","-0.041","34","0.029","","","64","16","18","0.9","5.080492"
"low_current_sweep_correction_curve.csv","55","5","12.329092025756836","5","5.041","-0.041","34","0.029","","","64","16","19","0.8","4.490488"
"low_current_sweep_correction_curve.csv","56","8","0.7286052703857422","8","8.541","-0.541","57","0.049","","","64","16","0","1.4","8.694352"
"low_current_sweep_correction_curve.csv","57","8","1.2118256092071533","8","8.541","-0.541","57","0.049","","","64","16","0","1.4","8.534521"
"low_current_sweep_correction_curve.csv","58","8","2.178478956222534","8","8.541","-0.541","57","0.049","","","64","16","0","1.4","8.10435"
"low_current_sweep_correction_curve.csv","59","8","2.6617014408111572","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.104640999999999"
"low_current_sweep_correction_curve.csv","60","8","3.144897699356079","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.104959000000001"
"low_current_sweep_correction_curve.csv","61","8","4.11176061630249","8","7.942","0.058","53","0.046","","","64","16","0","1.5","8.719083000000001"
"low_current_sweep_correction_curve.csv","62","8","4.594731092453003","8","8.541","-0.541","57","0.049","","","64","16","0","1.4","8.10494"
"low_current_sweep_correction_curve.csv","63","8","5.078048467636108","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.105366"
"low_current_sweep_correction_curve.csv","64","8","5.5612664222717285","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.207806999999999"
"low_current_sweep_correction_curve.csv","65","8","6.5281822681427","8","8.541","-0.541","57","0.049","","","64","16","0","1.4","8.105317000000001"
"low_current_sweep_correction_curve.csv","66","8","7.011151313781738","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.105383000000002"
"low_current_sweep_correction_curve.csv","67","8","7.494461536407471","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.412697"
"low_current_sweep_correction_curve.csv","68","8","7.978327751159668","8","8.541","-0.541","57","0.049","","","64","16","0","1.4","8.408268999999999"
"low_current_sweep_correction_curve.csv","69","8","8.944220066070557","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.719945"
"low_current_sweep_correction_curve.csv","70","8","9.427482604980469","8","8.541","-0.541","57","0.049","","","64","16","0","1.4","8.105159"
"low_current_sweep_correction_curve.csv","71","8","9.910703420639038","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.105589"
"low_current_sweep_correction_curve.csv","72","8","10.878135919570923","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.720053"
"low_current_sweep_correction_curve.csv","73","8","11.360916137695312","8","7.792","0.208","52","0.045","","","64","16","0","1.5","8.105338"
"low_current_sweep_correction_curve.csv","74","8","11.843981266021729","8","7.792","0.208","52","0.045","","","64","16","0","1.4","8.105658"
"low_current_sweep_correction_curve.csv","75","8","12.327048778533936","8","7.942","0.058","53","0.046","","","64","16","0","1.4","8.206797"
"low_current_sweep_correction_curve.csv","76","10","0.7259202003479004","10","10.883","-0.883","69","0.06","","","64","16","0","1.7","10.51483"
"low_current_sweep_correction_curve.csv","77","10","1.6925780773162842","10","10.883","-0.883","69","0.06","","","64","16","0","1.7","10.55895"
"low_current_sweep_correction_curve.csv","78","10","2.1757190227508545","10","9.779","0.221","62","0.053","","","64","16","0","1.8","9.964235"
"low_current_sweep_correction_curve.csv","79","10","2.6590003967285156","10","9.306","0.694","59","0.051","","","64","16","0","1.8","10.1464"
