source_file,source_row,cmd_or_set_cmd,time_s,set_ma,stm_current_ma,error_ma,adc1_raw,adc1_voltage_v,adc2_raw,adc2_voltage_v,sample_count,dropped_each_side,rejected_count,output_duty_pct,dm3058_current_ma,cleaning_note
low_current_sweep_correction_curve.csv,7,1,7.747370004653931,1,0.0,1.0,0,0.0,,,64,16,3,0.2,1.070284,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,8,1,8.659279823303223,1,2.366,-1.366,15,0.013,,,64,16,4,0.1,1.074316,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,9,1,9.147408246994019,1,2.366,-1.366,15,0.013,,,64,16,4,0.1,1.16512,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,15,1,17.866010904312134,1,0.0,1.0,0,0.0,,,64,16,7,0.3,1.074284,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,16,1,18.34954285621643,1,2.681,-1.681,17,0.014,,,64,16,8,0.2,1.176792,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,81,10,4.111905574798584,10,10.252,-0.252,65,0.057,,,64,16,0,1.7,10.55973,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,82,10,4.59343695640564,10,9.779,0.221,62,0.053,,,64,16,0,1.8,10.04565,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,83,10,5.075822591781616,10,9.306,0.694,59,0.051,,,64,16,0,1.8,10.12749,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,84,10,6.042610168457031,10,10.252,-0.252,65,0.057,,,64,16,0,1.7,9.943624,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,85,10,6.525470733642578,10,9.306,0.694,59,0.051,,,64,16,0,1.8,9.943514,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,86,10,7.009703636169434,10,9.306,0.694,59,0.051,,,64,16,0,1.8,10.114889999999999,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,87,10,7.4925150871276855,10,9.306,0.694,59,0.051,,,64,16,0,1.8,10.137749999999999,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,88,10,8.462242603302002,10,9.306,0.694,59,0.051,,,64,16,0,1.7,9.943841,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,89,10,8.942713737487793,10,10.252,-0.252,65,0.057,,,64,16,0,1.7,10.53084,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,90,10,9.425073623657227,10,9.937,0.063,63,0.055,,,64,16,0,1.8,10.25174,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,91,10,9.908097505569458,10,9.306,0.694,59,0.051,,,64,16,0,1.8,10.04952,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,92,10,10.874569177627563,10,9.622,0.378,61,0.053,,,64,16,0,1.7,10.56068,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,93,10,11.362200736999512,10,9.779,0.221,62,0.053,,,64,16,0,1.8,10.04643,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,94,10,11.844645500183105,10,9.306,0.694,59,0.051,,,64,16,0,1.8,10.12779,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,101,15,3.889456272125244,15,14.594,0.406,92,0.081,,,48,12,0,2.6,15.44309,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,102,15,4.3724446296691895,15,15.478,-0.478,100,0.088,,,48,12,0,2.5,15.27708,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,103,15,4.855910778045654,15,14.634,0.366,92,0.081,,,48,12,0,2.6,15.4433,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,104,15,5.340423583984375,15,15.488,-0.488,100,0.088,,,48,12,0,2.5,15.329590000000001,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,105,15,6.306096792221069,15,14.597,0.403,92,0.081,,,48,12,0,2.6,15.393139999999999,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,106,15,6.788924217224121,15,15.479,-0.479,100,0.088,,,48,12,0,2.5,15.4435,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,107,15,7.272212743759155,15,14.595,0.405,92,0.081,,,48,12,0,2.6,15.44362,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,108,15,7.755598783493042,15,15.478,-0.478,100,0.088,,,48,12,0,2.5,15.37172,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,109,15,8.238792181015015,15,14.595,0.405,92,0.081,,,48,12,0,2.6,15.443729999999999,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,110,15,8.722122192382812,15,15.478,-0.478,100,0.088,,,48,12,0,2.6,15.443760000000001,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,111,15,9.205316543579102,15,14.752,0.248,92,0.081,,,48,12,0,2.6,15.44367,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,112,15,10.172165632247925,15,15.517,-0.517,100,0.088,,,48,12,0,2.5,15.443729999999999,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,113,15,10.655123710632324,15,14.604,0.396,92,0.081,,,48,12,0,2.6,15.443719999999999,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,114,15,11.138774156570435,15,15.48,-0.48,100,0.088,,,48,12,0,2.5,15.44382,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,115,15,11.622531652450562,15,14.595,0.405,92,0.081,,,48,12,0,2.6,15.44394,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,116,15,12.104990243911743,15,15.478,-0.478,100,0.088,,,48,12,0,2.5,15.32578,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,122,20,3.6282498836517334,20,20.285,-0.285,131,0.115,,,48,12,0,3.4,20.309250000000002,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,123,20,4.109739542007446,20,19.74,0.26,122,0.107,,,48,12,0,3.4,20.30918,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,124,20,4.594727993011475,20,20.432,-0.432,131,0.115,,,48,12,0,3.4,20.30914,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,125,20,5.0763115882873535,20,19.54,0.46,122,0.107,,,48,12,0,3.4,20.30921,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,126,20,5.559923410415649,20,20.382,-0.382,131,0.115,,,48,12,0,3.4,20.30939,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,127,20,6.04469633102417,20,19.764,0.236,122,0.107,,,48,12,0,3.4,20.30943,stable_by_dm3058_group_median
low_current_sweep_correction_curve.csv,128,20,6.527817726135254,20,20.438,-0.438,131,0.115,,,48,12,0,3.4,20.309540000000002,stable_by_dm3058_group_median
