cmd,t,set,stm,err,adc1,adc1v,smp,drop,rej,out,dmm
1,1.7973594665527344,1,1.735,-0.735,11,0.008,64,16,0,0.1,-0.008161202
1,3.46345853805542,1,0.0,1.0,0,0.0,64,16,1,0.3,1.2576079999999998
1,5.2972729206085205,1,0.0,1.0,0,0.0,64,16,1,0.2,0.6764456
1,5.78204083442688,1,0.0,1.0,0,0.0,64,16,1,0.3,1.689157
1,6.777393817901611,1,2.366,-1.366,15,0.013,64,16,2,0.2,1.689119
1,7.262348890304565,1,0.0,1.0,0,0.0,64,16,3,0.2,1.68926
1,7.747370004653931,1,0.0,1.0,0,0.0,64,16,3,0.2,1.070284
1,8.659279823303223,1,2.366,-1.366,15,0.013,64,16,4,0.1,1.074316
1,9.147408246994019,1,2.366,-1.366,15,0.013,64,16,4,0.1,1.16512
1,10.06719160079956,1,1.735,-0.735,11,0.008,64,16,4,0.1,2.219452
1,11.647241830825806,1,0.0,1.0,0,0.0,64,16,5,0.3,-0.008202182
1,12.887097120285034,1,2.366,-1.366,15,0.013,64,16,6,0.1,-0.008226698
1,14.705196380615234,1,1.735,-0.735,11,0.008,64,16,6,0.1,nan
1,16.509319305419922,1,0.0,1.0,0,0.0,64,16,7,0.3,nan
1,17.866010904312134,1,0.0,1.0,0,0.0,64,16,7,0.3,1.074284
1,18.34954285621643,1,2.681,-1.681,17,0.014,64,16,8,0.2,1.176792
3,1.9537603855133057,3,46.751,-43.751,325,0.287,64,16,0,0.0,2.218716
3,2.8557636737823486,3,0.0,3.0,0,0.0,64,16,1,0.3,2.781165
3,3.338412046432495,3,2.158,0.842,15,0.013,64,16,2,0.4,2.78105
3,3.822155475616455,3,2.445,0.555,17,0.014,64,16,3,0.5,2.781111
3,4.306396245956421,3,3.021,-0.021,21,0.017,64,16,3,0.5,2.7812560000000004
3,4.788286447525024,3,3.021,-0.021,21,0.017,64,16,4,0.5,2.7812650000000003
3,5.271526336669922,3,3.021,-0.021,21,0.017,64,16,5,0.5,2.781279
3,5.756313323974609,3,3.021,-0.021,21,0.017,64,16,7,0.5,2.781348
3,6.2380592823028564,3,3.021,-0.021,21,0.017,64,16,7,0.5,2.7815209999999997
3,6.72312331199646,3,3.021,-0.021,21,0.017,64,16,8,0.5,2.781474
3,7.20579719543457,3,3.021,-0.021,21,0.017,64,16,9,0.5,2.7813
3,7.688388347625732,3,3.021,-0.021,21,0.017,64,16,10,0.4,2.2286889999999997
3,8.171945571899414,3,2.589,0.411,18,0.015,64,16,11,0.5,2.684237
3,9.137665748596191,3,3.021,-0.021,21,0.017,64,16,12,0.5,2.781375
3,9.621320486068726,3,3.021,-0.021,21,0.017,64,16,13,0.5,2.781289
3,10.105987548828125,3,3.021,-0.021,21,0.017,64,16,14,0.5,2.78144
3,10.587563276290894,3,3.021,-0.021,21,0.017,64,16,15,0.5,2.781441
3,11.555753231048584,3,3.021,-0.021,21,0.017,64,16,16,0.5,2.781446
3,12.038206577301025,3,3.021,-0.021,21,0.017,64,16,17,0.5,2.7815090000000002
5,0.7257864475250244,5,5.041,-0.041,34,0.029,64,16,0,0.9,5.079604
5,1.208376169204712,5,5.041,-0.041,34,0.029,64,16,1,0.9,5.079695
5,2.174997091293335,5,5.041,-0.041,34,0.029,64,16,2,0.9,5.079979
5,2.658233404159546,5,5.041,-0.041,34,0.029,64,16,3,0.9,5.080096
5,3.1439406871795654,5,5.041,-0.041,34,0.029,64,16,4,0.9,5.080087
5,3.62473201751709,5,5.041,-0.041,34,0.029,64,16,6,0.9,5.0801739999999995
5,4.5938310623168945,5,5.041,-0.041,34,0.029,64,16,7,0.9,5.080276
5,5.07445216178894,5,5.041,-0.041,34,0.029,64,16,8,0.9,5.0802879999999995
5,5.557795763015747,5,5.041,-0.041,34,0.029,64,16,8,0.8,4.4878849999999995
5,6.043756723403931,5,4.597,0.403,31,0.026,64,16,9,0.9,4.796538
5,7.007669687271118,5,5.041,-0.041,34,0.029,64,16,10,0.9,5.08031
