cmd,t,set,stm,err,adc1,adc1v,smp,drop,rej,out,dmm
1,1.4812266826629639,1,4.891,-3.891,34,0.029,64,16,0,0.5,1.0753810000000001
1,1.9614450931549072,1,1.582,-0.582,11,0.008,64,16,1,0.2,1.0754
1,3.047194719314575,1,1.582,-0.582,11,0.008,64,16,2,0.1,1.074832
1,4.290120840072632,1,0.0,1.0,0,0.0,64,16,3,0.3,1.68976
1,4.771420001983643,1,2.158,-1.158,15,0.013,64,16,4,0.1,1.670521
1,5.251377105712891,1,1.582,-0.582,11,0.008,64,16,4,0.1,0.9794979
1,5.73150634765625,1,0.0,1.0,0,0.0,64,16,5,0.3,1.074898
1,6.221663475036621,1,2.158,-1.158,15,0.013,64,16,6,0.1,1.177343
1,7.3816447257995605,1,0.0,1.0,0,0.0,64,16,7,0.3,1.074915
1,7.861552715301514,1,2.158,-1.158,15,0.013,64,16,8,0.1,1.268378
1,9.181397199630737,1,1.582,-0.582,11,0.008,64,16,8,0.1,1.0748909999999998
1,9.661585330963135,1,0.0,1.0,0,0.0,64,16,9,0.3,1.278378
1,10.152391195297241,1,2.158,-1.158,15,0.013,64,16,10,0.1,1.068543
1,11.07154893875122,1,1.582,-0.582,11,0.008,64,16,10,0.1,1.07489
1,11.551309823989868,1,0.0,1.0,0,0.0,64,16,11,0.3,0.746727
1,12.871347904205322,1,2.158,-1.158,15,0.013,64,16,12,0.1,1.07488
1,14.111690521240234,1,0.0,1.0,0,0.0,64,16,13,0.3,1.0749469999999999
1,14.599650144577026,1,2.158,-1.158,15,0.013,64,16,14,0.1,1.279482
1,15.083932876586914,1,1.582,-0.582,11,0.008,64,16,14,0.1,1.053652
1,15.566619873046875,1,0.0,1.0,0,0.0,64,16,15,0.3,1.074925
1,17.07348656654358,1,2.158,-1.158,15,0.013,64,16,16,0.1,nan
1,18.56346035003662,1,1.582,-0.582,11,0.008,64,16,16,0.1,1.689888
1,19.046950817108154,1,0.0,1.0,0,0.0,64,16,17,0.3,1.178632
3,1.6218481063842773,1,2.445,-1.445,17,0.014,64,16,24,0.3,2.220072
3,2.7817606925964355,1,0.0,1.0,0,0.0,64,16,25,0.3,1.6897170000000001
3,3.267021894454956,1,2.445,-1.445,17,0.014,64,16,26,0.2,1.1820680000000001
3,3.750562906265259,1,0.0,1.0,0,0.0,64,16,27,0.2,1.7781019999999998
3,4.23392128944397,1,2.158,-1.158,15,0.013,64,16,28,0.1,1.0566740000000001
3,4.712838172912598,1,0.0,1.0,0,0.0,64,16,29,0.4,1.074895
3,5.715692758560181,1,2.445,-1.445,17,0.014,64,16,30,0.1,1.074818
3,6.9570581912994385,1,1.582,-0.582,11,0.008,64,16,30,0.1,1.074866
3,7.439580202102661,1,0.0,1.0,0,0.0,64,16,31,0.3,1.27944
3,7.923058748245239,1,2.158,-1.158,15,0.013,64,16,32,0.1,1.061416
3,8.841633319854736,1,1.582,-0.582,11,0.008,64,16,32,0.1,1.689795
3,9.32264518737793,1,0.0,1.0,0,0.0,64,16,33,0.3,1.626627
3,10.645309686660767,1,2.158,-1.158,15,0.013,64,16,34,0.1,1.689769
3,11.884113073348999,1,1.582,-0.582,11,0.008,64,16,34,0.1,1.07485
3,13.127164363861084,1,0.0,1.0,0,0.0,64,16,35,0.3,1.689833
3,13.61189579963684,1,2.158,-1.158,15,0.013,64,16,36,0.1,1.674555
3,14.09256386756897,1,1.582,-0.582,11,0.008,64,16,36,0.1,1.0749240000000002
3,15.091907978057861,1,2.158,-1.158,15,0.013,64,16,36,0.1,1.689886
