cmd,t,set,stm,err,adc1,adc1v,smp,drop,rej,out,dmm
1,1.7712111473083496,1,1.582,-0.582,11,0.008,64,16,0,0.1,-0.008199408
1,2.9317269325256348,1,0.0,1.0,0,0.0,64,16,1,0.3,-0.0011195259999999998
1,3.75136137008667,1,0.144,0.856,1,0.0,64,16,1,0.2,1.075388
1,4.233391523361206,1,0.0,1.0,0,0.0,64,16,1,0.3,0.7514432999999999
1,5.4727723598480225,1,0.0,1.0,0,0.0,64,16,1,0.3,1.690574
1,5.960818290710449,1,0.0,1.0,0,0.0,64,16,1,0.2,1.68597
1,6.440985679626465,1,1.582,-0.582,11,0.008,64,16,2,0.1,1.022064
1,6.927738666534424,1,1.582,-0.582,11,0.008,64,16,2,0.1,1.0753489999999999
1,7.927627801895142,1,2.158,-1.158,15,0.013,64,16,2,0.1,1.075274
1,9.1670241355896,1,0.0,1.0,0,0.0,-1,-1,-1,0.3,1.6906480000000002
1,9.649373292922974,1,2.158,-1.158,15,0.013,64,16,4,0.1,1.6873840000000002
1,10.133481502532959,1,1.582,-0.582,11,0.008,64,16,4,0.1,1.029643
1,10.616357803344727,1,0.0,1.0,0,0.0,64,16,5,0.3,1.075367
1,11.776884078979492,1,2.158,-1.158,15,0.013,64,16,6,0.1,1.690764
1,13.018581867218018,1,1.582,-0.582,11,0.008,64,16,6,0.1,1.690792
1,14.094756364822388,1,0.0,1.0,0,0.0,64,16,7,0.3,1.690672
3,0.5831615924835205,3,50.789,-47.789,322,0.284,64,16,0,0.0,2.755982
3,1.5498073101043701,3,3.021,-0.021,21,0.017,64,16,1,0.5,2.783871
3,2.0336618423461914,3,3.021,-0.021,21,0.017,64,16,2,0.5,2.783823
3,2.5168955326080322,3,3.021,-0.021,21,0.017,64,16,2,0.5,2.783877
3,3.4836132526397705,3,3.021,-0.021,21,0.017,64,16,3,0.5,2.783954
3,3.9663729667663574,3,3.021,-0.021,21,0.017,64,16,4,0.5,2.784093
3,4.4502058029174805,3,3.021,-0.021,21,0.017,64,16,5,0.5,2.784218
3,4.933192253112793,3,3.021,-0.021,21,0.017,64,16,6,0.5,2.7840130000000003
3,5.900561332702637,3,3.021,-0.021,21,0.017,64,16,7,0.5,2.784075
3,6.38404655456543,3,3.021,-0.021,21,0.017,64,16,8,0.5,2.784236
3,6.8671581745147705,3,3.021,-0.021,21,0.017,64,16,9,0.5,2.784078
3,7.3502678871154785,3,3.021,-0.021,21,0.017,64,16,10,0.5,2.784187
3,8.316933631896973,3,3.021,-0.021,21,0.017,64,16,11,0.5,2.784146
3,8.80031442642212,3,3.021,-0.021,21,0.017,64,16,12,0.5,2.7841519999999997
3,9.283334970474243,3,3.021,-0.021,21,0.017,64,16,13,0.5,2.784189
3,10.250084400177002,3,3.021,-0.021,21,0.017,64,16,14,0.5,2.23086
3,10.733947992324829,3,2.589,0.411,18,0.015,64,16,15,0.5,2.784236
3,11.217408180236816,3,3.021,-0.021,21,0.017,64,16,16,0.5,2.784189
3,11.699910163879395,3,3.021,-0.021,21,0.017,64,16,17,0.5,2.7841810000000002
3,12.666561365127563,3,3.021,-0.021,21,0.017,64,16,18,0.5,2.784086
5,0.7268445491790771,5,18.913,-13.913,121,0.106,64,16,0,0.0,5.082103
5,1.2096226215362549,5,4.891,0.109,34,0.029,64,16,1,0.9,5.082527
5,1.6955890655517578,5,4.891,0.109,34,0.029,64,16,2,0.9,5.0829200000000005
5,2.6596062183380127,5,4.891,0.109,34,0.029,64,16,3,1.0,5.082428
5,3.144719123840332,5,4.891,0.109,34,0.029,64,16,3,0.9,5.082559000000001
5,3.628053665161133,5,4.891,0.109,34,0.029,64,16,5,0.9,5.192368
5,4.593085289001465,5,5.467,-0.467,38,0.033,64,16,5,0.9,5.0826020000000005
5,5.075656890869141,5,4.891,0.109,34,0.029,64,16,6,0.9,5.082802
5,5.559019565582275,5,4.891,0.109,34,0.029,64,16,8,0.9,5.082782999999999
5,6.042131185531616,5,4.891,0.109,34,0.029,64,16,9,0.9,5.082914
5,7.011752605438232,5,4.891,0.109,34,0.029,64,16,9,0.9,5.083031
5,7.492158651351929,5,4.891,0.109,34,0.029,64,16,10,1.0,5.681118
5,7.978341817855835,5,4.891,0.109,34,0.029,64,16,12,1.0,5.397837
5,8.464439153671265,5,5.467,-0.467,38,0.033,64,16,13,0.9,5.081399
5,9.42509126663208,5,4.891,0.109,34,0.029,64,16,14,0.9,5.083552
5,9.911721467971802,5,4.891,0.109,34,0.029,64,16,14,0.9,5.083704
5,10.391640424728394,5,4.891,0.109,34,0.029,64,16,15,1.0,5.583203999999999
5,11.361886501312256,5,4.891,0.109,34,0.029,64,16,17,1.0,5.08351
5,11.841823816299438,5,4.891,0.109,34,0.029,64,16,17,0.9,5.083749999999999
5,12.32578182220459,5,4.891,0.109,34,0.029,64,16,19,1.0,5.273496
8,0.729163408279419,8,7.624,0.376,53,0.046,64,16,0,1.5,8.726956
8,1.2112030982971191,8,8.2,-0.2,57,0.049,64,16,0,1.5,8.727578
8,2.1780455112457275,8,8.2,-0.2,57,0.049,64,16,0,1.5,8.728003999999999
8,2.6611571311950684,8,8.2,-0.2,57,0.049,64,16,0,1.5,8.728016
8,3.1443731784820557,8,8.2,-0.2,57,0.049,64,16,0,1.5,9.026670000000001
8,3.6209754943847656,8,8.775,-0.775,61,0.053,64,16,0,1.5,9.034405000000001
8,4.591229438781738,8,7.624,0.376,53,0.046,64,16,0,1.6,8.727161
8,5.07094669342041,8,8.2,-0.2,57,0.049,64,16,0,1.5,8.72738
8,5.561244010925293,8,8.2,-0.2,57,0.049,64,16,0,1.5,8.727689
8,6.524752616882324,8,7.624,0.376,53,0.046,64,16,0,1.6,8.727463
8,7.01107120513916,8,8.2,-0.2,57,0.049,64,16,0,1.5,8.727767
8,7.491134405136108,8,8.2,-0.2,57,0.049,64,16,0,1.5,8.728065
